Day,VehicleJourneyRef,DestinationAimedArrivalTime,JourneyCode,FromStopID,ToStopID,AimedDepartureTime,AimedArrivalTime,ActualDepartureTime,ActualArrivalTime,RouteID,TravelTime,ArrivalDifference,DepartureDifference,HourOfDay,ArrivalHour
Friday,NT1-In-1001-NT260007454-2024-08-23T11:14:00-2024-08-23,11:15:00,1081.0,260007454,260007423,2024-08-23 11:14:00,2024-08-23 11:14:00,2024-08-23 11:10:10,2024-08-23 11:15:31,1:1_1_2147483284,5.35,1.5166666666666666,-3.8333333333333335,11,11
Friday,NT1-In-1001-NT260007454-2024-08-23T11:14:00-2024-08-23,11:15:00,1081.0,260007423,260007343,2024-08-23 11:14:00,2024-08-23 11:15:00,2024-08-23 11:15:31,2024-08-23 11:16:32,1:1_2_2147483283,1.0166666666666666,1.5333333333333334,1.5166666666666666,11,11
Tuesday,NT1-In-1001-NT260007454-2024-08-27T08:56:00-2024-08-27,08:57:00,1053.0,260007454,260007423,2024-08-27 08:56:00,2024-08-27 08:56:00,2024-08-27 08:53:18,2024-08-27 08:58:24,1:1_1_2147483284,5.1,2.4,-2.7,8,8
Tuesday,NT1-In-1001-NT260007454-2024-08-27T08:56:00-2024-08-27,08:57:00,1053.0,260007423,260007343,2024-08-27 08:56:00,2024-08-27 08:57:00,2024-08-27 08:58:24,2024-08-27 08:59:14,1:1_2_2147483283,0.8333333333333334,2.2333333333333334,2.4,8,8
Tuesday,NT1-In-1001-NT260007454-2024-08-27T11:14:00-2024-08-27,11:15:00,1081.0,260007454,260007423,2024-08-27 11:14:00,2024-08-27 11:14:00,2024-08-27 11:06:07,2024-08-27 11:14:45,1:1_1_2147483284,8.633333333333333,0.75,-7.883333333333334,11,11
Tuesday,NT1-In-1001-NT260007454-2024-08-27T11:14:00-2024-08-27,11:15:00,1081.0,260007423,260007343,2024-08-27 11:14:00,2024-08-27 11:15:00,2024-08-27 11:14:45,2024-08-27 11:16:15,1:1_2_2147483283,1.5,1.25,0.75,11,11
Tuesday,NT1-In-1001-NT260007454-2024-08-27T18:26:00-2024-08-27,18:27:00,1173.0,260007454,260007423,2024-08-27 18:26:00,2024-08-27 18:26:00,2024-08-27 18:11:54,2024-08-27 18:26:34,1:1_1_2147483284,14.666666666666666,0.5666666666666667,-14.1,18,18
Tuesday,NT1-In-1001-NT260007454-2024-08-27T18:26:00-2024-08-27,18:27:00,1173.0,260007423,260007343,2024-08-27 18:26:00,2024-08-27 18:27:00,2024-08-27 18:26:34,2024-08-27 18:28:14,1:1_2_2147483283,1.6666666666666667,1.2333333333333334,0.5666666666666667,18,18
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007226,260007454,2024-08-21 16:13:00,2024-08-21 16:20:00,2024-08-21 16:18:53,2024-08-21 16:18:53,1:7_1_2147483028,0.0,-1.1166666666666667,5.883333333333334,16,16
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007454,260007423,2024-08-21 16:20:00,2024-08-21 16:20:00,2024-08-21 16:18:53,2024-08-21 16:21:02,1:7_2_2147483284,2.15,1.0333333333333334,-1.1166666666666667,16,16
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007423,260007343,2024-08-21 16:20:00,2024-08-21 16:21:00,2024-08-21 16:21:02,2024-08-21 16:21:50,1:7_3_2147483283,0.8,0.8333333333333334,1.0333333333333334,16,16
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007343,260007462,2024-08-21 16:21:00,2024-08-21 16:22:00,2024-08-21 16:21:50,2024-08-21 16:24:32,1:7_4_2147483509,2.7,2.533333333333333,0.8333333333333334,16,16
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007462,260007307,2024-08-21 16:22:00,2024-08-21 16:22:00,2024-08-21 16:24:32,2024-08-21 16:24:45,1:7_5_2147483505,0.2166666666666666,2.75,2.533333333333333,16,16
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007307,260007487,2024-08-21 16:22:00,2024-08-21 16:23:00,2024-08-21 16:24:45,2024-08-21 16:24:45,1:7_6_3425,0.0,1.75,2.75,16,16
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007487,3300RU0699,2024-08-21 16:23:00,2024-08-21 16:27:00,2024-08-21 16:24:45,2024-08-21 16:29:11,1:7_7_6850,4.433333333333334,2.183333333333333,1.75,16,16
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,3300RU0699,3300RU0700,2024-08-21 16:27:00,2024-08-21 16:28:00,2024-08-21 16:29:11,2024-08-21 16:29:11,1:7_8_6814,0.0,1.1833333333333331,2.183333333333333,16,16
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,3300RU0700,3300RU0400,2024-08-21 16:28:00,2024-08-21 16:29:00,2024-08-21 16:29:11,2024-08-21 16:30:42,1:7_9_10222,1.5166666666666666,1.7,1.1833333333333331,16,16
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,3300RU0400,3300RU0398,2024-08-21 16:29:00,2024-08-21 16:31:00,2024-08-21 16:30:42,2024-08-21 16:33:42,1:7_10_2147483276,3.0,2.7,1.7,16,16
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,3300RU0398,3300RU0919,2024-08-21 16:31:00,2024-08-21 16:31:00,2024-08-21 16:33:42,2024-08-21 16:35:31,1:7_11_18116,1.8166666666666669,4.516666666666667,2.7,16,16
Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,3300RU0919,3300RU0937,2024-08-21 16:31:00,2024-08-21 16:31:00,2024-08-21 16:35:31,2024-08-21 16:35:51,1:7_12_4249,0.3333333333333333,4.85,4.516666666666667,16,16
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007226,260007454,2024-08-22 16:13:00,2024-08-22 16:20:00,2024-08-22 16:10:27,2024-08-22 16:10:27,1:7_1_2147483028,0.0,-9.55,-2.55,16,16
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007454,260007423,2024-08-22 16:20:00,2024-08-22 16:20:00,2024-08-22 16:10:27,2024-08-22 16:22:44,1:7_2_2147483284,12.283333333333331,2.7333333333333334,-9.55,16,16
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007423,260007343,2024-08-22 16:20:00,2024-08-22 16:21:00,2024-08-22 16:22:44,2024-08-22 16:23:41,1:7_3_2147483283,0.95,2.683333333333333,2.7333333333333334,16,16
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007343,260007462,2024-08-22 16:21:00,2024-08-22 16:22:00,2024-08-22 16:23:41,2024-08-22 16:25:47,1:7_4_2147483509,2.1,3.783333333333333,2.683333333333333,16,16
