id,features
96,"[0.11328125,0.43587034534914526,0.4342584633017898,0.6086956521739131,0.0,0.41371843005434183]"
97,"[0.08203125,0.4353520066873613,0.43102926251845264,0.4782608695652174,0.0,0.3927797907521652]"
98,"[0.08203125,0.43566694663480127,0.43401512230022027,0.4782608695652174,0.0,0.3927797907521652]"
99,"[0.11328125,0.43249130202497027,0.43114764451290066,0.6086956521739131,0.0,0.3559566693114001]"
100,"[0.11328125,0.43545042542166956,0.43114764451290066,0.6086956521739131,0.0,0.3559566693114001]"
101,"[0.0546875,0.43558821165087436,0.4302597787078055,0.3913043478260869,0.0,0.4916967368228144]"
102,"[0.0546875,0.4357981716314776,0.43425188651256025,0.3913043478260869,0.0,0.4916967368228144]"
103,"[0.08203125,0.4356538241374801,0.43102926251845264,0.4782608695652174,0.0,0.42454875502934203]"
104,"[0.08203125,0.43595564159933137,0.4343176543460547,0.4782608695652174,0.0,0.42454875502934203]"
105,"[0.0546875,0.4360803053532133,0.4344754971582014,0.3913043478260869,0.0,0.0938628173107186]"
106,"[0.0546875,0.4363886839991968,0.4347451453166891,0.3913043478260869,0.0,0.0938628173107186]"
107,"[0.08203125,0.43615904031367536,0.43253534597015525,0.4782608695652174,0.0,0.27509025798001596]"
108,"[0.08203125,0.4360999890815964,0.43482406669336193,0.4782608695652174,0.0,0.27509025798001596]"
109,"[0.11328125,0.4357128753812915,0.43100953209196297,0.6086956521739131,0.0,0.4310469334885777]"
110,"[0.11328125,0.43599500910302724,0.4343768454020797,0.6086956521739131,0.0,0.4310469334885777]"
111,"[0.05859375,0.43971523738101687,0.4354554378949081,0.43478260869565216,0.0,0.3797833925192827]"
112,"[0.05859375,0.4399645647949214,0.4383886835627629,0.43478260869565216,0.0,0.3797833925192827]"
113,"[0.0859375,0.43575880412778173,0.43102268564690166,0.5217391304347826,0.0,0.43610109065216596]"
114,"[0.0859375,0.4360540603351062,0.4344228828914059,0.5217391304347826,0.0,0.43610109065216596]"
115,"[0.12109375,0.436152479070881,0.4325484995250939,0.6086956521739131,0.0,0.3400721871728116]"
116,"[0.12109375,0.4367036240287637,0.43481748991589264,0.6086956521739131,0.0,0.3400721871728116]"
117,"[0.1484375,0.43835049756575817,0.43663268219089896,0.6956521739130435,0.0,0.08567989913974797]"
118,"[0.1484375,0.43816022124314347,0.437020712531998,0.6956521739130435,0.0,0.08567989913974797]"
119,"[0.1484375,0.4385276512150653,0.4368299857031423,0.6956521739130435,0.0,0.08567989913974797]"
120,"[0.1484375,0.4386785600809138,0.4371982856177517,0.7391304347826086,0.0,0.08567989913974797]"
121,"[0.1484375,0.4383898650225243,0.43734955178179136,0.7391304347826086,0.0,0.08567989913974797]"
122,"[0.1484375,0.43789777134365027,0.437060173196814,0.7391304347826086,0.0,0.08567989913974797]"
123,"[0.0859375,0.4361787240889881,0.4326339977262769,0.5217391304347826,0.0,0.3032491070464576]"
124,"[0.0859375,0.4364542965209998,0.4348437970728108,0.5217391304347826,0.0,0.3032491070464576]"
125,"[0.12109375,0.4357522428849874,0.431048992756779,0.6086956521739131,0.0,0.44981949953287215]"
126,"[0.12109375,0.4362049690601656,0.43441630611393656,0.6086956521739131,0.0,0.44981949953287215]"
127,"[0.1484375,0.4358637841063509,0.43363366884243243,0.6956521739130435,0.0,0.11768953018999849]"
128,"[0.1484375,0.4358112941170663,0.4345281114249969,0.6956521739130435,0.0,0.11768953018999849]"
129,"[0.1484375,0.43646741900658853,0.4344754971582014,0.6956521739130435,0.0,0.11768953018999849]"
130,"[0.1484375,0.43646741900658853,0.4351331755166657,0.6956521739130435,0.0,0.11768953018999849]"
131,"[0.1484375,0.43607374406348925,0.4351331755166657,0.6956521739130435,0.0,0.11768953018999849]"
132,"[0.1484375,0.43577848787962964,0.43473856849217896,0.6956521739130435,0.0,0.11768953018999849]"
133,"[0.05859375,0.4364542965209998,0.43221308359191285,0.3913043478260869,0.0,0.379061381871459]"
134,"[0.05859375,0.4367233077571468,0.435120021961727,0.3913043478260869,0.0,0.379061381871459]"
135,"[0.0859375,0.4363033878428701,0.43259453696737926,0.5217391304347826,0.0,0.2758122686278397]"
136,"[0.0859375,0.4361656015564697,0.4349687559858506,0.5217391304347826,0.0,0.2758122686278397]"
137,"[0.05859375,0.43572599789034505,0.43300229764088627,0.3913043478260869,0.0,0.18628158492213215]"
138,"[0.05859375,0.43575880412778173,0.4343899989805388,0.3913043478260869,0.0,0.18628158492213215]"
139,"[0.12109375,0.4360146928314103,0.4310029554085753,0.6086956521739131,0.0,0.4628158977657546]"
140,"[0.12109375,0.43627714277783325,0.4346793774479141,0.6086956521739131,0.0,0.4628158977657546]"
141,"[0.1484375,0.4363361940568419,0.434350538268682,0.6956521739130435,0.0,0.11022864332405712]"
142,"[0.1484375,0.4362574590494502,0.4350016398731973,0.6956521739130435,0.0,0.11022864332405712]"
143,"[0.1484375,0.4367495527283242,0.43492271844948366,0.6956521739130435,0.0,0.11022864332405712]"
144,"[0.1484375,0.43693326771428515,0.43541597723009207,0.6956521739130435,0.0,0.11022864332405712]"
145,"[0.1484375,0.43664457274975504,0.43560012718739677,0.6956521739130435,0.0,0.11022864332405712]"
146,"[0.1484375,0.43629026526342196,0.43531074869650105,0.6956521739130435,0.0,0.11022864332405712]"
147,"[0.03515625,0.43612623405277384,0.4335481706412494,0.30434782608695654,0.0,0.11895306948089555]"
148,"[0.03515625,0.4364608577637942,0.43479118275897444,0.30434782608695654,0.0,0.11895306948089555]"
149,"[0.03515625,0.43684797146409904,0.43512659873919635,0.30434782608695654,0.0,0.11895306948089555]"
150,"[0.03515625,0.43684797146409904,0.43551462898621374,0.30434782608695654,0.0,0.11895306948089555]"
151,"[0.03515625,0.4364542965209998,0.43551462898621374,0.30434782608695654,0.0,0.11895306948089555]"
152,"[0.03515625,0.43604749909231183,0.435120021961727,0.30434782608695654,0.0,0.11895306948089555]"
153,"[0.03515625,0.4356538241374801,0.43471226138230157,0.30434782608695654,0.0,0.11895306948089555]"
154,"[0.03515625,0.4357456816187281,0.4343176543460547,0.30434782608695654,0.0,0.11895306948089555]"
155,"[0.0625,0.4324388120826154,0.431095030293146,0.43478260869565216,0.0,0.38050540316710646]"
156,"[0.0625,0.4356210179000435,0.431095030293146,0.43478260869565216,0.0,0.38050540316710646]"
157,"[0.08984375,0.43240600577478416,0.4310621463117177,0.5217391304347826,0.0,0.3559566693114001]"
158,"[0.08984375,0.43536512918468245,0.4310621463117177,0.5217391304347826,0.0,0.3559566693114001]"
159,"[0.125,0.4340397569200493,0.4326997655950519,0.6086956521739131,0.0,0.20361010901357357]"
160,"[0.125,0.4356144566455167,0.4326997655950519,0.6086956521739131,0.0,0.20361010901357357]"
161,"[0.15234375,0.43813397627196604,0.4361525769652292,0.7391304347826086,0.0,0.0750902512664242]"
162,"[0.15234375,0.4385079673928228,0.43680367859326497,0.7391304347826086,0.0,0.0750902512664242]"
163,"[0.15234375,0.4385342125517191,0.43717855519126203,0.7391304347826086,0.0,0.0750902512664242]"
164,"[0.15234375,0.4385342125517191,0.4372048624893027,0.7391304347826086,0.0,0.0750902512664242]"
165,"[0.15234375,0.4383045687723382,0.4372048624893027,0.7391304347826086,0.0,0.0750902512664242]"
166,"[0.08984375,0.437504096400551,0.43156855883542805,0.5217391304347826,0.0,0.5227436904521675]"
167,"[0.08984375,0.4373859938425337,0.43617230739171886,0.5217391304347826,0.0,0.5227436904521675]"
168,"[0.125,0.4356013341481955,0.4312857571220017,0.6086956521739131,0.0,0.35234657475787035]"
169,"[0.125,0.43555540540757154,0.43426504007925915,0.6086956521739131,0.0,0.35234657475787035]"
170,"[0.15234375,0.434741810509132,0.43340348139580154,0.7391304347826086,0.0,0.06873646150956965]"
171,"[0.15234375,0.4358112941170663,0.43340348139580154,0.7391304347826086,0.0,0.06873646150956965]"
172,"[0.15234375,0.4358112941170663,0.4344754971582014,0.7391304347826086,0.0,0.06873646150956965]"
173,"[0.15234375,0.4358112941170663,0.4344754971582014,0.7391304347826086,0.0,0.06873646150956965]"
174,"[0.15234375,0.43541761917690014,0.4344754971582014,0.7391304347826086,0.0,0.06873646150956965]"
175,"[0.03515625,0.43541761917690014,0.4327523798148066,0.30434782608695654,0.0,0.1162454882371455]"
176,"[0.03515625,0.43566694663480127,0.4340808901366547,0.30434782608695654,0.0,0.1162454882371455]"
177,"[0.03515625,0.4354110579253065,0.4343308079127535,0.30434782608695654,0.0,0.1162454882371455]"
178,"[0.03515625,0.4354110579253065,0.4340743133503652,0.30434782608695654,0.0,0.1162454882371455]"
179,"[0.03515625,0.4350173829880734,0.4340743133503652,0.30434782608695654,0.0,0.1162454882371455]"
180,"[0.03515625,0.4346040242696614,0.43367970633175856,0.30434782608695654,0.0,0.1162454882371455]"
181,"[0.03515625,0.4348533517774253,0.433265368927823,0.30434782608695654,0.0,0.1162454882371455]"
182,"[0.03515625,0.4348533517774253,0.4335152867539027,0.30434782608695654,0.0,0.1162454882371455]"
183,"[0.0625,0.4357325591331394,0.4325484995250939,0.43478260869565216,0.0,0.276534299932869]"
184,"[0.0625,0.43612623405277384,0.4343965757580081,0.43478260869565216,0.0,0.276534299932869]"
185,"[0.08984375,0.43580473287427196,0.4314041391164497,0.5217391304347826,0.0,0.36678699428640027]"
186,"[0.08984375,0.43580473287427196,0.43446892038073204,0.5217391304347826,0.0,0.36678699428640027]"
187,"[0.99609375,0.4352798329462288,0.4247155499385016,0.30434782608695654,1.0,1.0]"
188,"[0.99609375,0.43488615799139707,0.43394277767749634,0.30434782608695654,1.0,1.0]"
189,"[0.03515625,0.43573912037593376,0.43306148863811034,0.30434782608695654,0.0,0.12184115338660154]"
190,"[0.03515625,0.4359622028421257,0.43440315253547745,0.30434782608695654,0.0,0.12184115338660154]"
191,"[0.03515625,0.4364149290642336,0.4346267631811186,0.30434782608695654,0.0,0.12184115338660154]"
192,"[0.03515625,0.4364149290642336,0.435080561296911,0.30434782608695654,0.0,0.12184115338660154]"
193,"[0.03515625,0.43602125407420467,0.435080561296911,0.30434782608695654,0.0,0.12184115338660154]"
194,"[0.03515625,0.43575880412778173,0.4346859542253834,0.30434782608695654,0.0,0.12184115338660154]"
195,"[0.03515625,0.43536512918468245,0.4344228828914059,0.30434782608695654,0.0,0.12184115338660154]"
