LineRef,BlockRef,Day,VehicleJourneyRef,DestinationAimedArrivalTime,JourneyCode,FromStopID,FromStopLocation,ToStopID,ToStopLocation,AimedDepartureTime,AimedArrivalTime,ActualDepartureTime,ActualArrivalTime,RouteID,ActualDepartureDateTime,ActualArrivalDateTime,DepartureDate,ArrivalDate,TravelTime,TravelTimeInSeconds,ArrivalDifference,DepartureDifference,HourOfDay,DayOfWeek,ArrivalHour
NT1,1001.0,Wednesday,NT1-In-1001-NT260007454-2024-08-21T18:26:00-2024-08-21,18:27:00,1173.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-21 18:26:00,2024-08-21 18:27:00,2024-08-21 18:26:47,2024-08-21 18:28:24,1:1_2_2147483283,2024-08-21 18:26:47+01:00,2024-08-21 18:28:24+01:00,2024-08-21,2024-08-21,1.6166666666666667,97.0,1.4,0.7833333333333333,18,Wednesday,18
NT1,1001.0,Thursday,NT1-In-1001-NT260007454-2024-08-22T13:34:00-2024-08-22,13:35:00,1109.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-22 13:34:00,2024-08-22 13:34:00,2024-08-22 13:26:14,2024-08-22 13:36:10,1:1_1_2147483284,2024-08-22 13:26:14+01:00,2024-08-22 13:36:10+01:00,2024-08-22,2024-08-22,9.933333333333334,596.0,2.1666666666666665,-7.766666666666667,13,Thursday,13
NT1,1001.0,Thursday,NT1-In-1001-NT260007454-2024-08-22T13:34:00-2024-08-22,13:35:00,1109.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-22 13:34:00,2024-08-22 13:35:00,2024-08-22 13:36:10,2024-08-22 13:36:41,1:1_2_2147483283,2024-08-22 13:36:10+01:00,2024-08-22 13:36:41+01:00,2024-08-22,2024-08-22,0.5166666666666667,31.0,1.6833333333333331,2.1666666666666665,13,Thursday,13
NT1,1001.0,Thursday,NT1-In-1001-NT260007454-2024-08-22T15:54:00-2024-08-22,15:55:00,1145.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-22 15:54:00,2024-08-22 15:54:00,2024-08-22 15:46:52,2024-08-22 15:55:26,1:1_1_2147483284,2024-08-22 15:46:52+01:00,2024-08-22 15:55:26+01:00,2024-08-22,2024-08-22,8.566666666666666,514.0,1.4333333333333331,-7.133333333333334,15,Thursday,15
NT1,1001.0,Thursday,NT1-In-1001-NT260007454-2024-08-22T15:54:00-2024-08-22,15:55:00,1145.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-22 15:54:00,2024-08-22 15:55:00,2024-08-22 15:55:26,2024-08-22 15:55:51,1:1_2_2147483283,2024-08-22 15:55:26+01:00,2024-08-22 15:55:51+01:00,2024-08-22,2024-08-22,0.4166666666666667,25.0,0.85,1.4333333333333331,15,Thursday,15
NT1,1001.0,Thursday,NT1-In-1001-NT260007454-2024-08-22T18:26:00-2024-08-22,18:27:00,1173.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-22 18:26:00,2024-08-22 18:26:00,2024-08-22 18:20:12,2024-08-22 18:27:33,1:1_1_2147483284,2024-08-22 18:20:12+01:00,2024-08-22 18:27:33+01:00,2024-08-22,2024-08-22,7.35,441.0,1.55,-5.8,18,Thursday,18
NT1,1001.0,Thursday,NT1-In-1001-NT260007454-2024-08-22T18:26:00-2024-08-22,18:27:00,1173.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-22 18:26:00,2024-08-22 18:27:00,2024-08-22 18:27:33,2024-08-22 18:28:04,1:1_2_2147483283,2024-08-22 18:27:33+01:00,2024-08-22 18:28:04+01:00,2024-08-22,2024-08-22,0.5166666666666667,31.0,1.0666666666666669,1.55,18,Thursday,18
NT1,1001.0,Friday,NT1-In-1001-NT260007454-2024-08-23T08:56:00-2024-08-23,08:57:00,1053.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-23 08:56:00,2024-08-23 08:56:00,2024-08-23 08:49:10,2024-08-23 08:58:33,1:1_1_2147483284,2024-08-23 08:49:10+01:00,2024-08-23 08:58:33+01:00,2024-08-23,2024-08-23,9.383333333333333,563.0,2.55,-6.833333333333333,8,Friday,8
NT1,1001.0,Friday,NT1-In-1001-NT260007454-2024-08-23T08:56:00-2024-08-23,08:57:00,1053.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-23 08:56:00,2024-08-23 08:57:00,2024-08-23 08:58:33,2024-08-23 09:00:23,1:1_2_2147483283,2024-08-23 08:58:33+01:00,2024-08-23 09:00:23+01:00,2024-08-23,2024-08-23,1.8333333333333333,110.0,3.3833333333333333,2.55,9,Friday,9
NT1,1001.0,Friday,NT1-In-1001-NT260007454-2024-08-23T11:14:00-2024-08-23,11:15:00,1081.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-23 11:14:00,2024-08-23 11:14:00,2024-08-23 11:10:10,2024-08-23 11:15:31,1:1_1_2147483284,2024-08-23 11:10:10+01:00,2024-08-23 11:15:31+01:00,2024-08-23,2024-08-23,5.35,321.0,1.5166666666666666,-3.8333333333333335,11,Friday,11
