id,JourneyCode,TravelTime,ArrivalDifference,DepartureDifference,HourOfDay,ArrivalHour,DepartureHour,IsWeekend,AvgTravelTimeByJourney
1,1021.0,9.3,-0.15,-9.45,6,6,6,0,5.575
2,1021.0,1.85,0.7,-0.15,6,6,6,0,5.575
3,1053.0,5.4,1.0833333333333333,-4.316666666666666,8,8,8,0,3.85
4,1053.0,2.3,2.3833333333333333,1.0833333333333333,8,8,8,0,3.85
5,1081.0,0.0,-7.55,-7.55,11,11,11,0,5.041666666666667
6,1081.0,10.083333333333334,1.5333333333333334,-7.55,11,11,11,0,5.041666666666667
7,1109.0,9.416666666666666,1.55,-7.866666666666666,13,13,13,0,5.375
8,1109.0,1.3333333333333333,1.8833333333333333,1.55,13,13,13,0,5.375
9,1145.0,4.516666666666667,0.7,-3.816666666666667,15,15,15,0,3.1833333333333336
10,1145.0,1.85,1.55,0.7,15,15,15,0,3.1833333333333336
11,1173.0,12.616666666666667,0.7833333333333333,-11.833333333333334,18,18,18,0,7.116666666666667
12,1173.0,1.6166666666666667,1.4,0.7833333333333333,18,18,18,0,7.116666666666667
13,1109.0,9.933333333333334,2.1666666666666665,-7.766666666666667,13,13,13,0,5.2250000000000005
14,1109.0,0.5166666666666667,1.6833333333333331,2.1666666666666665,13,13,13,0,5.2250000000000005
15,1145.0,8.566666666666666,1.4333333333333331,-7.133333333333334,15,15,15,0,4.491666666666666
16,1145.0,0.4166666666666667,0.85,1.4333333333333331,15,15,15,0,4.491666666666666
17,1173.0,7.35,1.55,-5.8,18,18,18,0,3.933333333333333
18,1173.0,0.5166666666666667,1.0666666666666669,1.55,18,18,18,0,3.933333333333333
19,1053.0,9.383333333333333,2.55,-6.833333333333333,8,8,8,0,5.608333333333333
20,1053.0,1.8333333333333333,3.3833333333333333,2.55,9,9,8,0,5.608333333333333
21,1081.0,5.35,1.5166666666666666,-3.8333333333333335,11,11,11,0,3.183333333333333
22,1081.0,1.0166666666666666,1.5333333333333334,1.5166666666666666,11,11,11,0,3.183333333333333
23,1053.0,5.1,2.4,-2.7,8,8,8,0,2.9666666666666663
24,1053.0,0.8333333333333334,2.2333333333333334,2.4,8,8,8,0,2.9666666666666663
25,1081.0,8.633333333333333,0.75,-7.883333333333334,11,11,11,0,5.066666666666666
26,1081.0,1.5,1.25,0.75,11,11,11,0,5.066666666666666
27,1173.0,14.666666666666666,0.5666666666666667,-14.1,18,18,18,0,8.166666666666666
28,1173.0,1.6666666666666667,1.2333333333333334,0.5666666666666667,18,18,18,0,8.166666666666666
29,1153.0,0.0,-1.1166666666666667,5.883333333333334,16,16,16,0,1.413888888888889
30,1153.0,2.15,1.0333333333333334,-1.1166666666666667,16,16,16,0,1.413888888888889
31,1153.0,0.8,0.8333333333333334,1.0333333333333334,16,16,16,0,1.413888888888889
32,1153.0,2.7,2.533333333333333,0.8333333333333334,16,16,16,0,1.413888888888889
33,1153.0,0.2166666666666666,2.75,2.533333333333333,16,16,16,0,1.413888888888889
34,1153.0,0.0,1.75,2.75,16,16,16,0,1.413888888888889
35,1153.0,4.433333333333334,2.183333333333333,1.75,16,16,16,0,1.413888888888889
36,1153.0,0.0,1.1833333333333331,2.183333333333333,16,16,16,0,1.413888888888889
37,1153.0,1.5166666666666666,1.7,1.1833333333333331,16,16,16,0,1.413888888888889
38,1153.0,3.0,2.7,1.7,16,16,16,0,1.413888888888889
39,1153.0,1.8166666666666669,4.516666666666667,2.7,16,16,16,0,1.413888888888889
40,1153.0,0.3333333333333333,4.85,4.516666666666667,16,16,16,0,1.413888888888889
41,1153.0,0.0,-9.55,-2.55,16,16,16,0,2.073611111111111
42,1153.0,12.283333333333331,2.7333333333333334,-9.55,16,16,16,0,2.073611111111111
43,1153.0,0.95,2.683333333333333,2.7333333333333334,16,16,16,0,2.073611111111111
44,1153.0,2.1,3.783333333333333,2.683333333333333,16,16,16,0,2.073611111111111
45,1153.0,0.0,3.783333333333333,3.783333333333333,16,16,16,0,2.073611111111111
46,1153.0,0.2833333333333333,3.066666666666667,3.783333333333333,16,16,16,0,2.073611111111111
